rank,score,EMPRESA_JUNIOR,E_MAIL,SITE,CNPJ,FEDERATION_NAME,NUCLEOS,ESTADO,CIDADE,UNIVERSIDADE,CURSOS,MEMBROS,FATURAMENTO,CONTRATOS,CLUSTER_2024,E_DE_ALTO_CRESCIMENTO,FACEBOOK
11,82.0,Pupila Audiovisual,contato@pupilaaudiovisual.com.br,https://www.pupilaaudiovisual.com.br/,12.556.073/0001-43,Concentro,,DF,Brasília,UNIVERSIDADE DE BRASÍLIA,"Comunicação Social - Audiovisual, Comunicação Social - Comunicação Organizacional, Comunicação Social - Publicidade E Propaganda, Jornalismo",45.0,19020.0,16.0,1.0,Sim,https://web.facebook.com/PupilaAudiovisual/
12,81.4,Aspecto Empreendimento Criativo,contato@aspectojr.com.br,https://aspectojr.com.br,14.495.150/0001-28,FEJEMG,Núcleo da Mata,MG,Juiz de Fora,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,"Artes Visuais, Cinema E Audiovisual, Design, Interdisciplinar Em Artes E Design - Bi/Li, Moda",32.0,78343.28,44.0,4.0,Não,https://www.facebook.com/aspectojr/
13,80.4,Produtora Júnior,comercial@produtorajunior.com.br,http://produtorajunior.com.br/,08.106.974/0001-66,UNIJr-BA,NEJ Salvador,BA,Salvador,UNIVERSIDADE FEDERAL DA BAHIA,"Comunicação - Produção Em Comunicação E Cultura, Comunicação Social - Jornalismo, Interdisciplinar Em Artes, Interdisciplinar Em Humanidades",29.0,128938.74,30.0,4.0,Não,https://www.facebook.com/produtorajunior/?fref=ts
14,80.3,Iris Comunicação,ejiriscomunicacao@gmail.com,https://ejiriscomunicacao.com,11.674.747/0001-41,PB júnior,,PB,João Pessoa,UNIVERSIDADE FEDERAL DA PARAÍBA,"Cinema E Audiovisual, Jornalismo, Radialismo, Relações Públicas",28.0,41819.97,30.0,3.0,Não,https://facebook.com/ejiriscomunicacao
15,80.1,Ibmec Jr. Soluções,presidencia@ibmecjr.com.br,https://ibmecjr.com.br/,01.419.692/0001-70,RioJunior,,RJ,Rio de Janeiro,Centro Universitário IBMEC,"Administração, Ciência De Dados E Inteligência Artificial, Ciências Contábeis, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Direito, Engenharia Civil, Engenharia De Computação, Engenharia De Produção, Engenharia Mecânica, Jornalismo, Relações Internacionais",49.0,101692.84,6.0,1.0,Sim,https://www.facebook.com/ibmecjr/
16,80.1,59mil,ej@59mil.com,http://www.59mil.com.br/,28.769.490/0001-04,RN Júnior,,RN,Natal,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Comunicação Social - Publicidade E Propaganda,42.0,117760.0,21.0,3.0,Não,https://www.facebook.com/59mil
17,79.7,Belas Artes Jr,jr@belasartes.br,https://www.belasartesjr.com/,39.428.015/0001-90,FEJESP,Núcleo São Paulo,SP,São Paulo,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,"Administração, Arquitetura E Urbanismo, Comunicação Social - Publicidade E Propaganda, Design De Interiores, Design Gráfico, Marketing, Relações Internacionais, Relações Públicas",37.0,21017.94,20.0,1.0,Sim,
18,78.5,Marketing Júnior USP,presidencia@marketingjr.com.br,https://www.marketingjr.com.br/,11.565.122/0001-41,FEJESP,Núcleo São Paulo,SP,São Paulo,UNIVERSIDADE DE SÃO PAULO,Marketing,46.0,200449.13,24.0,5.0,Não,https://www.facebook.com/MarketingJr/
19,77.3,Ponto,falepra@pontocjr.com,https://comunicacaoponto.com.br/,23.905.004/0001-14,Goiás Júnior,,GO,Goiânia,UNIVERSIDADE FEDERAL DE GOIÁS,Comunicação Social - Publicidade E Propaganda,52.0,26400.63,20.0,2.0,Sim,https://www.facebook.com/umpontopravc/
20,77.2,Acesso Comunicação Júnior,presidencia@acessojr.com,"https://www.google.com.br/maps/place/Acesso+Comunica%C3%A7%C3%A3o+Jr./@-21.7752658,-43.3688957,17z/data=!3m1!4b1!4m5!3m4!1s0x989b7517ddaf81:0x4e611749257d1a62!8m2!3d-21.7752708!4d-43.366707",04.229.669/0001-00,FEJEMG,Núcleo da Mata,MG,Juiz de Fora,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,"Jornalismo, Rádio, Tv E Internet",32.0,68255.05,31.0,3.0,Não,https://www.facebook.com/acessojr/
21,77.1,Jangadeiros,direx@ejangadeiros.com.br,https://instagram.com/ejangadeiros,34.100.549/0001-70,FEJEA,,AL,Maceió,UNIVERSIDADE FEDERAL DE ALAGOAS,"Jornalismo, Relações Públicas",19.0,129362.0,33.0,5.0,Sim,
22,76.7,Doisnovemeia Publicidade,presidencia@doisnovemeia.com.br,http://www.doisnovemeia.com.br,01.350.243/0001-12,Concentro,,DF,Brasília,UNIVERSIDADE DE BRASÍLIA,"Comunicação Social - Audiovisual, Comunicação Social - Comunicação Organizacional, Comunicação Social - Publicidade E Propaganda",26.0,40360.0,14.0,1.0,Sim,https://www.facebook.com/Doisnovemeia/
23,76.0,Rastro Agência Jr.,diretoria.rastroufc@gmail.com,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TLOsSI4vKzA0YLRSMagwTzY3sUwzsUw0SE42SjS0MqgwTTWyME4xszBOS7ZIM7ZI8RIsSiwuKcpXSExPzUvOTFTIKgIA8bEVwA&q=rastro+agencia+jr&oq=ras&aqs=chrome.1.69i57j46i39i175i199j0i131i433i512j0i433i512j0i131i433i512j69i60l3.1962j0j7&sourceid=chrome&ie=UTF-8,23.353.442/0001-17,FEJECE,,CE,Fortaleza,UNIVERSIDADE FEDERAL DO CEARÁ,Comunicação Social - Publicidade E Propaganda,34.0,54031.03,20.0,3.0,Não,http://facebook.com/rastroufc
24,75.3,Nuvem Jr.,,https://www.nuvemjr.com/,31.316.267/0001-16,FEJERS,,RS,Santa Maria,UNIVERSIDADE FEDERAL DE SANTA MARIA,"Comunicação Social - Produção Editorial, Comunicação Social - Publicidade E Propaganda, Comunicação Social - Relações Públicas, Jornalismo",30.0,30155.1,26.0,2.0,Sim,https://www.facebook.com/nuvemjr
25,74.5,EngNet Consultoria,contato@engnetconsultoria.com.br,http://engnetconsultoria.com.br/,10.279.902/0001-62,Concentro,,DF,Brasília,UNIVERSIDADE DE BRASÍLIA,"Engenharia De Computação, Engenharia De Redes De Comunicação, Engenharia De Software, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecatrônica - Controle E Automação",39.0,97912.0,13.0,3.0,Sim,https://www.facebook.com/EngNetConsultoriaJr/?fref=ts
26,74.5,Opção Consultoria ,ingridbotti@opcaoconsultoria.com.br,https://opcaoconsultoria.com.br/,02.744.184/0001-20,RioJunior,,RJ,Niterói,UNIVERSIDADE FEDERAL FLUMINENSE,"Ciências Econômicas, Comunicação Social - Publicidade E Propaganda",58.0,30228.0,8.0,2.0,Sim,https://www.facebook.com/OpcaoConsultoriaJr/
27,74.1,Inventório - Empresa Júnior de Design e Moda,presidencia@inventorio.org.br,http://inventorio.org.br/,09.548.993/0001-05,FEJESC,Núcleo Floripa,SC,Florianópolis,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,"Administração, Design Gráfico, Design - Industrial, Moda",21.0,148172.56,23.0,5.0,Não,https://www.facebook.com/inventorio/?fref=ts
28,74.0,ESPM Jr.,,https://espmjr.com.br/,67.135.038/0001-42,FEJESP,Núcleo São Paulo,SP,São Paulo,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,"Administração, Comunicação Social - Publicidade E Propaganda",42.0,175160.95,17.0,1.0,Sim,https://www.facebook.com/ESPMJr
29,73.2,Matriz Comunicação,digital.matriz@gmail.com,http://www.matrizcomunicacao.com/,05.607.458/0001-27,Concentro,,DF,Brasília,UNIVERSIDADE CATÓLICA DE BRASÍLIA,"Comunicação Social - Publicidade E Propaganda, Design Visual, Jornalismo",16.0,5350.0,3.0,1.0,Sim,https://www.facebook.com/matriz.comunicacao/
30,72.9,Pégaso,produtorapegaso@gmail.com,,35.206.418/0001-34,FEJEPAR,Núcleo Curitiba,PR,Curitiba,UNIVERSIDADE FEDERAL DO PARANÁ,"Comunicação Institucional, Design De Produto, Design Gráfico, Jornalismo, Produção Cênica, Publicidade E Propaganda, Relações Públicas",23.0,18861.57,12.0,1.0,Sim,https://www.facebook.com/pegasoufpr
31,71.7,estalo design,contato@estalodeisgn.com,http://www.estalodesign.com/,13.531.826/0001-29,FEJEPAR,Núcleo Curitiba,PR,Curitiba,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,"Design, Design Gráfico",34.0,39195.12,20.0,2.0,Sim,https://www.facebook.com/estalodesign/
32,70.9,UCS JR. Consultoria,vpgresczeschen@ucs.br,https://www.ucs.br/site/empresa-junior/,03.893.852/0001-43,FEJERS,,RS,Caxias do Sul,UNIVERSIDADE DE CAXIAS DO SUL,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Artes Visuais, Automação Industrial, Ciência Da Computação, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Comércio Internacional, Comunicação Social - Publicidade E Propaganda, Criação Digital, Design, Direito, Educação Física, Engenharia Ambiental, Engenharia Automotiva, Engenharia Civil, Engenharia De Alimentos, Engenharia De Computação, Engenharia De Controle E Automação, Engenharia De Materiais, Engenharia De Produção, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecânica, Engenharia Química, Eventos, Farmácia, Física, Fotografia, Gastronomia, Geografia, Gestão Comercial, Gestão Da Produção Industrial, Gestão Da Qualidade, Gestão De Produção Industrial, Gestão De Recursos Humanos, Gestão Do Agronegócio, Gestão Financeira, Gestão Pública, História, Hotelaria, Jogos Digitais, Jornalismo, Letras, Letras - Espanhol, Letras - Inglês, Letras - Libras, Letras - Língua Portuguesa, Logística, Marketing, Matemática, Medicina, Medicina Veterinária, Moda, Música, Nutrição, Odontologia, Pedagogia, Polímeros, Processos Gerenciais, Produção Audiovisual, Programa Especial De Formação Pedagógica, Psicologia, Química, Redes De Computadores, Relações Públicas, Serviço Social, Sistemas De Informação, Sociologia, Tecnologias Digitais, Turismo",23.0,0.0,0.0,0.0,Não,https://pt-br.facebook.com/ejucs/
33,70.9,PUC Consultoria Jr.,contato@pucconsultoriajr.com.br,http://www.pucconsultoriajr.com.br/,65.135.279/0001-66,FEJEMG,Núcleo Central,MG,Belo Horizonte,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,"Administração, Banco De Dados, Ciências Biológicas - BH, Ciências Contábeis, Ciências Econômicas, Ciências Sociais, Direito, Engenharia De Produção, Fisioterapia, Fonoaudiologia, Geografia - BH, Gestão Comercial, Gestão De Recursos Humanos, Gestão Financeira, História, Marketing, Relações Internacionais, Serviço Social",36.0,97907.08,12.0,3.0,Não,https://www.facebook.com/PUCConsultoriaJr/?fref=ts
34,70.2,Agência de Comunicações ECA Jr.,comunicacao@ecajr.com.br,http://www.ecajr.com.br/,67.004.424/0001-03,FEJESP,Núcleo São Paulo,SP,São Paulo,UNIVERSIDADE DE SÃO PAULO,"Comunicação Social Com Habilitação Em Publicidade E Propaganda, Relações Públicas, Turismo",23.0,44850.0,8.0,1.0,Não,https://www.facebook.com/agenciaecajr/
35,68.7,Focus Consultoria,contato@cosultoriafocus.com,http://www.consultoriafocus.com/,11.503.720/0001-96,RioJunior,,RJ,Rio das Ostras,UNIVERSIDADE FEDERAL FLUMINENSE,"Ciência Da Computação, Engenharia De Produção, Produção Cultural, Psicologia",33.0,61230.0,6.0,3.0,Sim,https://www.facebook.com/FocusConsultoria
36,68.6,Salto Consultoria,presidencia@saltoconsultoria.com,https://www.saltoconsultoria.com/,26.288.823/0001-58,RioJunior,,RJ,Rio de Janeiro,UNIVERSIDADE VEIGA DE ALMEIDA,"Administração, Ciência Da Computação, Ciência Econômica, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Design Gráfico, Direito, Engenharia Ambiental, Engenharia Civil, Engenharia De Computação, Engenharia De Petróleo, Engenharia Elétrica, Psicologia, Relações Internacionais",7.0,4980.0,4.0,2.0,Sim,https://pt-br.facebook.com/saltoconsultoria
37,68.1,Avance Consultoria Júnior,avance.mej@gmail.com,https://avancejr.com.br,09.055.337/0001-70,FEJEMG,Núcleo Triângulo,MG,Frutal,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,"Administração, Comunicação Social - Publicidade E Propaganda, Direito, Jornalismo, Sistema De Informação",9.0,5350.0,4.0,1.0,Sim,https://www.facebook.com/AvanceJr/
38,68.1,2TONS - Empresa Júnior da Midialogia,administrativo@2tons.com.br,http://2tons.com.br/,39.596.161/0001-25,FEJESP,Núcleo Campinas,SP,Campinas,UNIVERSIDADE ESTADUAL DE CAMPINAS,Comunicação Social,35.0,29106.32,11.0,1.0,Sim,https://www.facebook.com/ej.2tons/
39,67.8,Intermídia ,intermidiaufv@gmail.com,,23.248.037/0001-39,FEJEMG,Núcleo da Mata,MG,Viçosa,UNIVERSIDADE FEDERAL DE VIÇOSA,Comunicação Social - Jornalismo,17.0,48995.35,20.0,3.0,Sim,https://www.facebook.com/IntermidiaEJ
40,67.7,Verbalize Empresa Júnior,verbalize.jr@ufop.edu.br,https://www.verbalizejr.com,17.611.714/0001-39,FEJEMG,Núcleo Vertentes,MG,Mariana,UNIVERSIDADE FEDERAL DE OURO PRETO,Jornalismo,23.0,51044.0,11.0,2.0,Sim,https://www.facebook.com/verbalizejr/
41,67.3,Agência Júnior de Comunicação Mackenzie ,agjrmackenzie@gmail.com.br,https://agenciajrmack.com.br/,05.703.065/0001-17,FEJESP,Núcleo São Paulo,SP,São Paulo,UNIVERSIDADE PRESBITERIANA MACKENZIE,"Comunicação Social - Publicidade E Propaganda, Jornalismo, Letras Português E Inglês",18.0,3101.0,4.0,1.0,Não,https://www.facebook.com/agenciajr/
42,66.9,Mosaico Comunicação Júnior,contato@mosaicojr.com.br,http://mosaicojr.com,20.428.179/0001-90,FEJEMG,Núcleo Vertentes,MG,São João del Rei,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,Comunicação Social - Jornalismo,26.0,4000.56,4.0,1.0,Sim,https://www.facebook.com/mosaicocomunicacaojr/?fref=ts
43,66.9,EJCM,equipe.comercial@ejcm.com.br,http://www.ejcm.com.br,39.081.849/0001-72,RioJunior,,RJ,Rio de Janeiro,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"Ciência Da Computação, Ciências Matemáticas E Da Terra, Ciências Matemáticas E Da Terra - Analista De Suporte À Decisão, Comunicação Visual Design, Desenho Industrial - Projeto De Produto, Engenharia Eletrônica E De Computação",67.0,38453.43,4.0,3.0,Não,
44,66.5,Carioca Jr,,https://www.cariocajr.com.br/,51.235.900/0001-59,RioJunior,,RJ,Rio de Janeiro,CENTRO UNIVERSITÁRIO UNICARIOCA,"Administração, Análise E Desenvolvimento De Sistemas, Biomedicina, Ciência Da Computação, Ciências Contábeis, Comunicação Social - Jornalismo, Comunicação Social - Publicidade E Propaganda, Design, Direito, Engenharia Civil, Engenharia De Computação, Engenharia De Produção, Engenharia Elétrica, Gestão Comercial, Gestão De Recursos Humanos, Gestão Financeira, Jornalismo, Logística, Marketing, Pedagogia, Processos Gerenciais, Publicidade E Propaganda, Redes De Computadores, Serviço Social",16.0,2507.0,5.0,1.0,Sim,https://www.facebook.com/empresacariocajr/
45,66.3,Legacy PUCRS Empresa Júnior ,legacypucrsjunior@gmail.com,,38.134.220/0001-80,FEJERS,,RS,Porto Alegre,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,"Arquitetura E Urbanismo, Biomedicina, Ciência Da Computação, Ciência E Inovação Em Alimentos, Ciências Aeronáuticas, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Direito, Educação Física, Enfermagem, Engenharia Civil, Engenharia De Computação, Engenharia De Controle E Automação, Engenharia De Produção, Engenharia De Software, Engenharia Elétrica, Engenharia Mecânica, Engenharia Química, Escrita Criativa, Farmácia, Filosofia, Física, Fisioterapia, Gastronomia, Geografia, História, Jornalismo, Letras - Língua Inglesa, Letras - Língua Portuguesa E Respectivas Literaturas, Matemática, Medicina, Nutrição, Odontologia, Pedagogia, Produção Audiovisual, Psicologia, Publicidade E Propaganda, Química, Relações Internacionais, Serviço Social, Sistemas De Informação, Teologia",31.0,3170.0,7.0,1.0,Sim,
46,66.2,Ampla Consultoria Jr.,comercial@amplajr.com.br,https://www.amplajr.com.br,26.628.646/0001-01,FEJEMG,Núcleo da Mata,MG,Juiz de Fora,Centro Universitário Academia,"Administração, Gestão De Recursos Humanos, Jornalismo, Marketing, Psicologia, Publicidade E Propaganda",4.0,2600.0,2.0,1.0,Sim,https://www.facebook.com/amplajr/?jazoest=2651001219798121102511071151141228911265112721046511311683531007878717853808775101104105110978368951168253736510358651001227011876878912070779756675710211710689113104101106114105889871111839785815550116113818910779721217511565
47,65.9,Qualitas Jr,contato@qualitasjr.com.br,http://qualitasjr.com.br,05.057.622/0001-70,FEJESP,Núcleo Campinas,SP,Campinas,FACULDADES DE CAMPINAS,"Administração, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Engenharia De Computação, Engenharia De Produção, Engenharia Mecânica",20.0,15000.0,4.0,2.0,Não,https://www.facebook.com/QualitasJr/
48,65.9,Cajuí Collab,,https://cajuicollab.com.br,51.034.351/0001-54,Concentro,,DF,Brasília,UNIVERSIDADE CATÓLICA DE BRASÍLIA,"Análise E Desenvolvimento De Sistemas, Ciência Da Computação, Comunicação Social - Publicidade E Propaganda, Design Visual, Engenharia De Software",44.0,32995.0,7.0,1.0,Sim,
49,65.4,EJUVV,comercial@ejuvv.com,http://ejuvv.com,25.354.377/0001-70,Juniores,,ES,Vila Velha,UNIVERSIDADE VILA VELHA,"Administração, Arquitetura E Urbanismo, Artes Cênicas, Ciência Da Computação, Ciências Contábeis, Design De Moda, Design De Produto, Direito, Educação Física, Engenharia Civil, Engenharia De Petróleo, Engenharia Elétrica, Engenharia Mecânica, Engenharia Química, Estética E Cosmética, Farmácia, Fisioterapia, Fonoaudiologia, Fotografia, Marketing, Medicina, Medicina Veterinária, Nutrição, Odontologia, Pedagogia, Psicologia, Relações Internacionais, Sistemas De Informação",11.0,56999.44,7.0,3.0,Não,https://www.facebook.com/EJUVVConsultoria/
50,65.3,expresse! consultoria,marketing@expresseconsultoria.com.br,http://expresseconsultoria.com.br/,19.092.442/0001-33,RioJunior,,RJ,Rio de Janeiro,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,"Jornalismo, Relações Públicas",24.0,32690.0,4.0,3.0,Não,https://www.facebook.com/expresse.consultoria
51,65.2,EJ BRAVA,ejbrava@gmail.com,https://www.instagram.com/ejbrava/,30.955.545/0001-12,FEJEMS,,MS,Campo Grande,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Jornalismo,26.0,24740.0,7.0,1.0,Sim,https://www.facebook.com/ejbrava
52,65.2,Líder Engenharia Jr ,,https://www.liderengenhariajr.com,48.640.891/0001-77,FEJEPE,,PE,Recife,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Abi - Engenharia, Administração, Arqueologia, Arquitetura E Urbanismo, Artes Visuais, Biblioteconomia, Biomedicina, Ciência Da Computação, Ciência Política, Ciências Atuariais, Ciências Biológicas, Ciências Biológicas - Ênfase Em Ciências Ambientais, Ciências Contábeis, Ciências Econômicas, Ciências Sociais, Cinema E Audiovisual, Dança, Design, Direito, Educação Física, Enfermagem, Engenharia Biomédica, Engenharia Cartográfica E De Agrimensura, Engenharia Civil, Engenharia Da Computação, Engenharia De Alimentos, Engenharia De Controle E Automação, Engenharia De Energia, Engenharia De Materiais, Engenharia De Minas, Engenharia De Produção, Engenharia De Telecomunicações, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecânica, Engenharia Naval, Engenharia Química, Estatística, Expressão Gráfica, Farmácia, Filosofia, Física, Fisioterapia, Fonoaudiologia, Geografia, Geologia, Gestão Da Informação, História, Hotelaria, Jornalismo, Letras, Letras - Espanhol, Letras - Francês, Letras - Inglês, Letras - Libras, Letras - Português, Matemática, Medicina, Museologia, Música, Música - Canto, Música - Instrumento, Nutrição, Oceanografia, Odontologia, Pedagogia, Psicologia, Publicidade E Propaganda, Química, Química Industrial, Rádio, Tv E Internet, Saúde Coletiva, Secretariado Executivo, Serviço Social, Sistemas De Informação, Teatro, Terapia Ocupacional, Turismo",9.0,12483.7,9.0,1.0,Sim,https://web.facebook.com/profile.php?id=100088242787526
53,64.7,RELAB Jr. Consultoria,,,47.726.115/0001-21,FEJERS,,RS,Porto Alegre,UNIVERSIDADE DO VALE DO RIO DOS SINOS,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Biomedicina, Ciência Da Computação, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Ciências Sociais, Comércio Exterior, Comunicação Digital, Design, Design De Produto, Direito, Educação Física, Enfermagem, Engenharia Agronômica, Engenharia Ambiental, Engenharia Biomédica, Engenharia Cartográfica E De Agrimensura, Engenharia Civil, Engenharia Da Computação, Engenharia De Alimentos, Engenharia De Controle E Automação, Engenharia De Energia, Engenharia De Materiais, Engenharia De Produção, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecânica, Engenharia Química, Farmácia, Filosofia, Física, Física Médica, Fisioterapia, Fotografia, Gastronomia, Geologia, Gestão Ambiental, Gestão Comercial, Gestão Da Produção Industrial, Gestão Da Tecnologia Da Informação, Gestão Financeira, História, Interdisciplinar Em Humanidades, Artes E Tecnologia, Jornalismo, Letras - Inglês, Letras - Português, Letras - Português E Alemão, Letras - Português E Espanhol, Letras Português E Inglês, Logística, Marketing, Matemática, Medicina, Moda, Nutrição, Pedagogia, Processos Gerenciais, Relações Internacionais, Segurança Da Informação, Serviço Social, Sistemas De Informação, Sistemas Para Internet",28.0,35152.72,11.0,1.0,Sim,https://www.facebook.com/relabjrconsultoria
54,64.5,Jornal Jr.,jornaljr.unesp@gmail.com,http://www.jornaljr.com.br/,19.221.014/0001-63,FEJESP,Núcleo Bauru,SP,Bauru,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,"Abi - Artes Visuais, Abi - Design, Artes Visuais, Design Gráfico, Jornalismo, Relações Públicas",7.0,3682.5,6.0,1.0,Sim,https://www.facebook.com/jornaljr/
55,63.5,Enfasis Júnior,enfasisjr@gmail.com,https://enfasisjunior.wordpress.com/,43.624.856/0001-40,RN Júnior,,RN,Natal,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Jornalismo,24.0,21273.0,11.0,2.0,Sim,
