rank_plano,EMPRESA_JUNIOR,ESTADO,CIDADE,CNPJ,E_MAIL,SITE,FEDERATION_NAME,UNIVERSIDADE,CURSOS,MEMBROS,FATURAMENTO,CONTRATOS,CLUSTER_2024,E_DE_ALTO_CRESCIMENTO,FACEBOOK,aderencia,demanda,acessibilidade,capacidade,encaixe,score,planning_score,pure_comm,creative,broad,matches
11,59mil,RN,Natal,28.769.490/0001-04,ej@59mil.com,http://www.59mil.com.br/,RN Júnior,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Comunicação Social - Publicidade E Propaganda,42.0,117760.0,21.0,3.0,Não,https://www.facebook.com/59mil,26,11.8,20,11.3,11.0,80.1,86.1,True,True,False,comunicação; publicidade; propaganda
12,Fluxo Consultoria,RJ,Rio de Janeiro,72.387.608/0001-21,fluxo@poli.ufrj.br,http://fluxoconsultoria.poli.ufrj.br/,RioJunior,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"Arquitetura E Urbanismo, Comunicação Visual Design, Engenharia Ambiental, Engenharia (Ciclo Básico), Engenharia Civil, Engenharia De Alimentos, Engenharia De Bioprocessos, Engenharia De Computação E Informação, Engenharia De Controle E Automação, Engenharia De Materiais, Engenharia De Produção, Engenharia Elétrica, Engenharia Eletrônica E De Computação, Engenharia Mecânica, Engenharia Metalúrgica, Engenharia Naval E Oceânica, Engenharia Nuclear, Engenharia Química",112.0,1385542.76,97.0,4.0,Não,https://www.facebook.com/fluxoconsultoria/?fref=ts,24,20,20,15,11.0,90.0,86.0,True,True,True,comunicação; design
13,Belas Artes Jr,SP,São Paulo,39.428.015/0001-90,jr@belasartes.br,https://www.belasartesjr.com/,FEJESP,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,"Administração, Arquitetura E Urbanismo, Comunicação Social - Publicidade E Propaganda, Design De Interiores, Design Gráfico, Marketing, Relações Internacionais, Relações Públicas",37.0,21017.94,20.0,1.0,Sim,,30,11.3,17,7.3,14.0,79.7,85.7,True,True,False,comunicação; publicidade; propaganda; relações públicas; marketing; design
14,Primus Consultoria Empresarial Jr,BA,Salvador,96.850.250/0001-90,contato@primusconsultoria.com.br,http://primusconsultoria.com.br/,UNIJr-BA,UNIVERSIDADE SALVADOR,"Administração, Ciências Contábeis, Ciências Econômicas, Comunicação E Marketing, Comunicação Social - Publicidade E Propaganda, Design, Gestão Comercial, Gestão Da Qualidade, Gestão De Recursos Humanos, Gestão Financeira, Relações Internacionais",51.0,202645.0,19.0,3.0,Não,https://www.facebook.com/ejprimusconsultoria,30,12.4,20,12.4,14.0,88.8,84.8,True,True,True,comunicação; publicidade; propaganda; marketing; design
15,Empresa Júnior UNICAP,PE,Recife,25.353.663/0001-10,contato@ejunicap.com,https://ejunicap.com.br/,FEJEPE,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,"Administração, Arquitetura E Urbanismo, Ciência Da Computação, Ciência Política, Ciências Contábeis, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Direito, Engenharia Civil, Engenharia De Produção, Fotografia, Jornalismo, Psicologia",45.0,148135.0,29.0,4.0,Não,https://www.facebook.com/ejunicap/?ref=aymt_homepage_panel,28,14.1,20,13.6,12.5,88.2,84.2,True,True,True,comunicação; jornalismo; publicidade; propaganda
16,Ponto,GO,Goiânia,23.905.004/0001-14,falepra@pontocjr.com,https://comunicacaoponto.com.br/,Goiás Júnior,UNIVERSIDADE FEDERAL DE GOIÁS,Comunicação Social - Publicidade E Propaganda,52.0,26400.63,20.0,2.0,Sim,https://www.facebook.com/umpontopravc/,26,12.8,20,7.6,11.0,77.3,83.3,True,True,False,comunicação; publicidade; propaganda
17,Acesso Comunicação Júnior,MG,Juiz de Fora,04.229.669/0001-00,presidencia@acessojr.com,"https://www.google.com.br/maps/place/Acesso+Comunica%C3%A7%C3%A3o+Jr./@-21.7752658,-43.3688957,17z/data=!3m1!4b1!4m5!3m4!1s0x989b7517ddaf81:0x4e611749257d1a62!8m2!3d-21.7752708!4d-43.366707",FEJEMG,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,"Jornalismo, Rádio, Tv E Internet",32.0,68255.05,31.0,3.0,Não,https://www.facebook.com/acessojr/,24,11.6,20,10.6,11.0,77.2,83.2,True,True,False,comunicação; jornalismo
18,Jangadeiros,AL,Maceió,34.100.549/0001-70,direx@ejangadeiros.com.br,https://instagram.com/ejangadeiros,FEJEA,UNIVERSIDADE FEDERAL DE ALAGOAS,"Jornalismo, Relações Públicas",19.0,129362.0,33.0,5.0,Sim,,24,14.8,17,11.8,9.5,77.1,83.1,True,True,False,jornalismo; relações públicas
19,Doisnovemeia Publicidade,DF,Brasília,01.350.243/0001-12,presidencia@doisnovemeia.com.br,http://www.doisnovemeia.com.br,Concentro,UNIVERSIDADE DE BRASÍLIA,"Comunicação Social - Audiovisual, Comunicação Social - Comunicação Organizacional, Comunicação Social - Publicidade E Propaganda",26.0,40360.0,14.0,1.0,Sim,https://www.facebook.com/Doisnovemeia/,28,9.4,20,6.8,12.5,76.7,82.7,True,True,False,comunicação; publicidade; propaganda; audiovisual
20,Rastro Agência Jr.,CE,Fortaleza,23.353.442/0001-17,diretoria.rastroufc@gmail.com,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TLOsSI4vKzA0YLRSMagwTzY3sUwzsUw0SE42SjS0MqgwTTWyME4xszBOS7ZIM7ZI8RIsSiwuKcpXSExPzUvOTFTIKgIA8bEVwA&q=rastro+agencia+jr&oq=ras&aqs=chrome.1.69i57j46i39i175i199j0i131i433i512j0i433i512j0i131i433i512j69i60l3.1962j0j7&sourceid=chrome&ie=UTF-8,FEJECE,UNIVERSIDADE FEDERAL DO CEARÁ,Comunicação Social - Publicidade E Propaganda,34.0,54031.03,20.0,3.0,Não,http://facebook.com/rastroufc,26,10.3,20,8.7,11.0,76.0,82.0,True,True,False,comunicação; publicidade; propaganda
21,Projetos Consultoria Integrada,DF,Brasília,03.459.709/0001-48,contato@projetosintegrada.com.br,https://www.projetosintegrada.com.br/,Concentro,CENTRO UNIVERSITÁRIO DE BRASÍLIA,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Ciência Da Computação, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Design De Interiores, Design Gráfico, Direito, Engenharia Civil, Engenharia De Computação, Engenharia Elétrica, Gestão De Recursos Humanos, Gestão Financeira, Marketing, Psicologia, Relações Internacionais",57.0,53815.7,28.0,3.0,Não,https://www.facebook.com/projetosintegrada/?fref=ts,30,12.0,20,9.7,14.0,85.7,81.7,True,True,True,comunicação; publicidade; propaganda; marketing; design
22,Nuvem Jr.,RS,Santa Maria,31.316.267/0001-16,,https://www.nuvemjr.com/,FEJERS,UNIVERSIDADE FEDERAL DE SANTA MARIA,"Comunicação Social - Produção Editorial, Comunicação Social - Publicidade E Propaganda, Comunicação Social - Relações Públicas, Jornalismo",30.0,30155.1,26.0,2.0,Sim,https://www.facebook.com/nuvemjr,30,12.3,12,8.5,12.5,75.3,81.3,True,True,False,comunicação; jornalismo; publicidade; propaganda; relações públicas
23,Marketing Júnior USP,SP,São Paulo,11.565.122/0001-41,presidencia@marketingjr.com.br,https://www.marketingjr.com.br/,FEJESP,UNIVERSIDADE DE SÃO PAULO,Marketing,46.0,200449.13,24.0,5.0,Não,https://www.facebook.com/MarketingJr/,22,14.0,20,13.0,9.5,78.5,80.5,False,True,False,marketing
24,EngNet Consultoria,DF,Brasília,10.279.902/0001-62,contato@engnetconsultoria.com.br,http://engnetconsultoria.com.br/,Concentro,UNIVERSIDADE DE BRASÍLIA,"Engenharia De Computação, Engenharia De Redes De Comunicação, Engenharia De Software, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecatrônica - Controle E Automação",39.0,97912.0,13.0,3.0,Sim,https://www.facebook.com/EngNetConsultoriaJr/?fref=ts,22,13.5,20,9.5,9.5,74.5,80.5,True,True,False,comunicação
25,Opção Consultoria,RJ,Niterói,02.744.184/0001-20,ingridbotti@opcaoconsultoria.com.br,https://opcaoconsultoria.com.br/,RioJunior,UNIVERSIDADE FEDERAL FLUMINENSE,"Ciências Econômicas, Comunicação Social - Publicidade E Propaganda",58.0,30228.0,8.0,2.0,Sim,https://www.facebook.com/OpcaoConsultoriaJr/,26,11.3,20,6.2,11.0,74.5,80.5,True,True,False,comunicação; publicidade; propaganda
26,ESPM Jr.,SP,São Paulo,67.135.038/0001-42,,https://espmjr.com.br/,FEJESP,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,"Administração, Comunicação Social - Publicidade E Propaganda",42.0,175160.95,17.0,1.0,Sim,https://www.facebook.com/ESPMJr,26,12.9,12,12.1,11.0,74.0,80.0,True,True,False,comunicação; publicidade; propaganda
27,Matriz Comunicação,DF,Brasília,05.607.458/0001-27,digital.matriz@gmail.com,http://www.matrizcomunicacao.com/,Concentro,UNIVERSIDADE CATÓLICA DE BRASÍLIA,"Comunicação Social - Publicidade E Propaganda, Design Visual, Jornalismo",16.0,5350.0,3.0,1.0,Sim,https://www.facebook.com/matriz.comunicacao/,30,6.4,20,2.7,14.0,73.2,79.2,True,True,False,comunicação; jornalismo; publicidade; propaganda; design
28,Pégaso,PR,Curitiba,35.206.418/0001-34,produtorapegaso@gmail.com,,FEJEPAR,UNIVERSIDADE FEDERAL DO PARANÁ,"Comunicação Institucional, Design De Produto, Design Gráfico, Jornalismo, Produção Cênica, Publicidade E Propaganda, Relações Públicas",23.0,18861.57,12.0,1.0,Sim,https://www.facebook.com/pegasoufpr,30,8.6,15,5.3,14.0,72.9,78.9,True,True,False,comunicação; jornalismo; publicidade; propaganda; relações públicas; design
29,Agência de Comunicações ECA Jr.,SP,São Paulo,67.004.424/0001-03,comunicacao@ecajr.com.br,http://www.ecajr.com.br/,FEJESP,UNIVERSIDADE DE SÃO PAULO,"Comunicação Social Com Habilitação Em Publicidade E Propaganda, Relações Públicas, Turismo",23.0,44850.0,8.0,1.0,Não,https://www.facebook.com/agenciaecajr/,28,5.3,20,5.9,11.0,70.2,76.2,True,True,False,comunicação; publicidade; propaganda; relações públicas
30,Ibmec Jr. Soluções,RJ,Rio de Janeiro,01.419.692/0001-70,presidencia@ibmecjr.com.br,https://ibmecjr.com.br/,RioJunior,Centro Universitário IBMEC,"Administração, Ciência De Dados E Inteligência Artificial, Ciências Contábeis, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Direito, Engenharia Civil, Engenharia De Computação, Engenharia De Produção, Engenharia Mecânica, Jornalismo, Relações Internacionais",49.0,101692.84,6.0,1.0,Sim,https://www.facebook.com/ibmecjr/,28,10.8,20,8.8,12.5,80.1,76.1,True,True,True,comunicação; jornalismo; publicidade; propaganda
31,Inventório - Empresa Júnior de Design e Moda,SC,Florianópolis,09.548.993/0001-05,presidencia@inventorio.org.br,http://inventorio.org.br/,FEJESC,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,"Administração, Design Gráfico, Design - Industrial, Moda",21.0,148172.56,23.0,5.0,Não,https://www.facebook.com/inventorio/?fref=ts,22,11.0,20,11.6,9.5,74.1,76.1,False,True,False,design
32,Avance Consultoria Júnior,MG,Frutal,09.055.337/0001-70,avance.mej@gmail.com,https://avancejr.com.br,FEJEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,"Administração, Comunicação Social - Publicidade E Propaganda, Direito, Jornalismo, Sistema De Informação",9.0,5350.0,4.0,1.0,Sim,https://www.facebook.com/AvanceJr/,28,5.7,20,1.9,12.5,68.1,74.1,True,True,False,comunicação; jornalismo; publicidade; propaganda
33,2TONS - Empresa Júnior da Midialogia,SP,Campinas,39.596.161/0001-25,administrativo@2tons.com.br,http://2tons.com.br/,FEJESP,UNIVERSIDADE ESTADUAL DE CAMPINAS,Comunicação Social,35.0,29106.32,11.0,1.0,Sim,https://www.facebook.com/ej.2tons/,22,10.0,20,6.5,9.5,68.1,74.1,True,True,False,comunicação
34,Intermídia,MG,Viçosa,23.248.037/0001-39,intermidiaufv@gmail.com,,FEJEMG,UNIVERSIDADE FEDERAL DE VIÇOSA,Comunicação Social - Jornalismo,17.0,48995.35,20.0,3.0,Sim,https://www.facebook.com/IntermidiaEJ,24,11.1,15,6.7,11.0,67.8,73.8,True,True,False,comunicação; jornalismo
35,estalo design,PR,Curitiba,13.531.826/0001-29,contato@estalodeisgn.com,http://www.estalodesign.com/,FEJEPAR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,"Design, Design Gráfico",34.0,39195.12,20.0,2.0,Sim,https://www.facebook.com/estalodesign/,22,12.1,20,8.1,9.5,71.7,73.7,False,True,False,design
36,Verbalize Empresa Júnior,MG,Mariana,17.611.714/0001-39,verbalize.jr@ufop.edu.br,https://www.verbalizejr.com,FEJEMG,UNIVERSIDADE FEDERAL DE OURO PRETO,Jornalismo,23.0,51044.0,11.0,2.0,Sim,https://www.facebook.com/verbalizejr/,22,9.8,20,6.5,9.5,67.7,73.7,True,True,False,jornalismo
37,Agência Júnior de Comunicação Mackenzie,SP,São Paulo,05.703.065/0001-17,agjrmackenzie@gmail.com.br,https://agenciajrmack.com.br/,FEJESP,UNIVERSIDADE PRESBITERIANA MACKENZIE,"Comunicação Social - Publicidade E Propaganda, Jornalismo, Letras Português E Inglês",18.0,3101.0,4.0,1.0,Não,https://www.facebook.com/agenciajr/,28,3.8,20,3.0,12.5,67.3,73.3,True,True,False,comunicação; jornalismo; publicidade; propaganda
38,Mosaico Comunicação Júnior,MG,São João del Rei,20.428.179/0001-90,contato@mosaicojr.com.br,http://mosaicojr.com,FEJEMG,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,Comunicação Social - Jornalismo,26.0,4000.56,4.0,1.0,Sim,https://www.facebook.com/mosaicocomunicacaojr/?fref=ts,24,7.8,20,4.1,11.0,66.9,72.9,True,True,False,comunicação; jornalismo
39,EJCM,RJ,Rio de Janeiro,39.081.849/0001-72,equipe.comercial@ejcm.com.br,http://www.ejcm.com.br,RioJunior,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"Ciência Da Computação, Ciências Matemáticas E Da Terra, Ciências Matemáticas E Da Terra - Analista De Suporte À Decisão, Comunicação Visual Design, Desenho Industrial - Projeto De Produto, Engenharia Eletrônica E De Computação",67.0,38453.43,4.0,3.0,Não,,24,8.9,17,6.0,11.0,66.9,72.9,True,True,False,comunicação; design
40,Focus Consultoria,RJ,Rio das Ostras,11.503.720/0001-96,contato@cosultoriafocus.com,http://www.consultoriafocus.com/,RioJunior,UNIVERSIDADE FEDERAL FLUMINENSE,"Ciência Da Computação, Engenharia De Produção, Produção Cultural, Psicologia",33.0,61230.0,6.0,3.0,Sim,https://www.facebook.com/FocusConsultoria,22,11.5,20,7.2,8.0,68.7,72.7,True,False,False,produção cultural
41,Ampla Consultoria Jr.,MG,Juiz de Fora,26.628.646/0001-01,comercial@amplajr.com.br,https://www.amplajr.com.br,FEJEMG,Centro Universitário Academia,"Administração, Gestão De Recursos Humanos, Jornalismo, Marketing, Psicologia, Publicidade E Propaganda",4.0,2600.0,2.0,1.0,Sim,https://www.facebook.com/amplajr/?jazoest=2651001219798121102511071151141228911265112721046511311683531007878717853808775101104105110978368951168253736510358651001227011876878912070779756675710211710689113104101106114105889871111839785815550116113818910779721217511565,28,4.8,20,0.9,12.5,66.2,72.2,True,True,False,jornalismo; publicidade; propaganda; marketing
42,Qualitas Jr,SP,Campinas,05.057.622/0001-70,contato@qualitasjr.com.br,http://qualitasjr.com.br,FEJESP,FACULDADES DE CAMPINAS,"Administração, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Engenharia De Computação, Engenharia De Produção, Engenharia Mecânica",20.0,15000.0,4.0,2.0,Não,https://www.facebook.com/QualitasJr/,26,5.2,20,3.8,11.0,65.9,71.9,True,True,False,comunicação; publicidade; propaganda
43,Cajuí Collab,DF,Brasília,51.034.351/0001-54,,https://cajuicollab.com.br,Concentro,UNIVERSIDADE CATÓLICA DE BRASÍLIA,"Análise E Desenvolvimento De Sistemas, Ciência Da Computação, Comunicação Social - Publicidade E Propaganda, Design Visual, Engenharia De Software",44.0,32995.0,7.0,1.0,Sim,,28,10.2,9,6.2,12.5,65.9,71.9,True,True,False,comunicação; publicidade; propaganda; design
44,expresse! consultoria,RJ,Rio de Janeiro,19.092.442/0001-33,marketing@expresseconsultoria.com.br,http://expresseconsultoria.com.br/,RioJunior,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,"Jornalismo, Relações Públicas",24.0,32690.0,4.0,3.0,Não,https://www.facebook.com/expresse.consultoria,24,6.8,20,5.0,9.5,65.3,71.3,True,True,False,jornalismo; relações públicas
45,EJ BRAVA,MS,Campo Grande,30.955.545/0001-12,ejbrava@gmail.com,https://www.instagram.com/ejbrava/,FEJEMS,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Jornalismo,26.0,24740.0,7.0,1.0,Sim,https://www.facebook.com/ejbrava,22,8.4,20,5.3,9.5,65.2,71.2,True,True,False,jornalismo
46,Jornal Jr.,SP,Bauru,19.221.014/0001-63,jornaljr.unesp@gmail.com,http://www.jornaljr.com.br/,FEJESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,"Abi - Artes Visuais, Abi - Design, Artes Visuais, Design Gráfico, Jornalismo, Relações Públicas",7.0,3682.5,6.0,1.0,Sim,https://www.facebook.com/jornaljr/,26,5.7,20,1.8,11.0,64.5,70.5,True,True,False,jornalismo; relações públicas; design
47,Enfasis Júnior,RN,Natal,43.624.856/0001-40,enfasisjr@gmail.com,https://enfasisjunior.wordpress.com/,RN Júnior,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Jornalismo,24.0,21273.0,11.0,2.0,Sim,,22,9.6,17,5.4,9.5,63.5,69.5,True,True,False,jornalismo
48,Multiconsultoria,RJ,Seropédica,02.577.076/0001-00,vicepresidencia@multiconsultoria.org.br,http://www.multiconsultoria.org.br/,RioJunior,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,"Administração, Administração Pública, Ciências Contábeis, Ciências Econômicas, Jornalismo",8.0,40011.8,7.0,3.0,Sim,https://www.facebook.com/multiconsultoriaej,22,8.3,20,3.5,9.5,63.3,69.3,True,True,False,jornalismo
49,Jornalismo Júnior,SP,São Paulo,07.107.712/0001-53,contato@jornalismojunior.com.br,https://jornalismojunior.com.br/,FEJESP,UNIVERSIDADE DE SÃO PAULO,Jornalismo,23.0,1905.0,7.0,1.0,Sim,https://www.facebook.com/jornalismojunior/,22,7.8,20,4.0,9.5,63.3,69.3,True,True,False,jornalismo
50,Foca.Jr,MG,Belo Horizonte,49.746.471/0001-32,,,FEJEMG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,"Comunicação Social - Cinema E Audiovisual, Comunicação Social - Publicidade E Propaganda, Jornalismo, Relações Públicas",28.0,15609.3,9.0,2.0,Sim,,30,9.8,4,5.5,14.0,63.3,69.3,True,True,False,comunicação; jornalismo; publicidade; propaganda; relações públicas; audiovisual
51,Cacto Comunicação,PR,Curitiba,30.033.467/0001-07,cactocomunicacao@cactocomunicacao.org.br,https://www.cactocomunicacao.org.br/,FEJEPAR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,Comunicação Organizacional,18.0,7415.32,6.0,1.0,Sim,https://www.facebook.com/cactocomunicacao/,22,7.1,20,3.4,9.5,62.0,68.0,True,True,False,comunicação
52,Elabora Conteúdo Criativo,PB,João Pessoa,23.749.451/0001-21,presidencia@elaboraej.com.br,http://www.elaboraej.com.br,PB júnior,UNIVERSIDADE FEDERAL DA PARAÍBA,Comunicação Em Mídias Digitais,6.0,1535.0,4.0,1.0,Sim,http://www.facebook.com.br,24,5.3,20,1.4,11.0,61.6,67.6,True,True,False,comunicação; mídias
53,Communicare Jr,MG,Uberlândia,18.670.241/0001-03,communicarejunior@gmail.com,https://www.communicarejr.com,FEJEMG,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,Jornalismo,12.0,23064.0,6.0,1.0,Sim,https://www.facebook.com/communicarejr,22,6.5,20,3.3,9.5,61.3,67.3,True,True,False,jornalismo
54,UCS JR. Consultoria,RS,Caxias do Sul,03.893.852/0001-43,vpgresczeschen@ucs.br,https://www.ucs.br/site/empresa-junior/,FEJERS,UNIVERSIDADE DE CAXIAS DO SUL,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Artes Visuais, Automação Industrial, Ciência Da Computação, Ciências Biológicas, Ciências Contábeis, Ciências Econômicas, Comércio Internacional, Comunicação Social - Publicidade E Propaganda, Criação Digital, Design, Direito, Educação Física, Engenharia Ambiental, Engenharia Automotiva, Engenharia Civil, Engenharia De Alimentos, Engenharia De Computação, Engenharia De Controle E Automação, Engenharia De Materiais, Engenharia De Produção, Engenharia Elétrica, Engenharia Eletrônica, Engenharia Mecânica, Engenharia Química, Eventos, Farmácia, Física, Fotografia, Gastronomia, Geografia, Gestão Comercial, Gestão Da Produção Industrial, Gestão Da Qualidade, Gestão De Produção Industrial, Gestão De Recursos Humanos, Gestão Do Agronegócio, Gestão Financeira, Gestão Pública, História, Hotelaria, Jogos Digitais, Jornalismo, Letras, Letras - Espanhol, Letras - Inglês, Letras - Libras, Letras - Língua Portuguesa, Logística, Marketing, Matemática, Medicina, Medicina Veterinária, Moda, Música, Nutrição, Odontologia, Pedagogia, Polímeros, Processos Gerenciais, Produção Audiovisual, Programa Especial De Formação Pedagógica, Psicologia, Química, Redes De Computadores, Relações Públicas, Serviço Social, Sistemas De Informação, Sociologia, Tecnologias Digitais, Turismo",23.0,0.0,0.0,0.0,Não,https://pt-br.facebook.com/ejucs/,30,2.9,20,3.1,15,70.9,66.9,True,True,True,comunicação; jornalismo; publicidade; propaganda; relações públicas; audiovisual; marketing; design
55,Ethos Consultoria Jr.,PE,Recife,04.007.248/0001-35,institucional@ethosconsultoriajr.com,,FEJEPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Administração, Pedagogia, Psicologia, Publicidade E Propaganda, Serviço Social, Terapia Ocupacional",28.0,30150.49,9.0,3.0,Não,,24,7.9,12,6.1,9.5,59.5,65.5,True,True,False,publicidade; propaganda
